entry,at,order
"The player ""Ben @ Mn8Pxw4x79"" stand up with the stack of 1087.67.",2025-08-01T05:38:39.838Z,175402671983800
"-- ending hand #249 --",2025-08-01T05:38:33.807Z,175402671380704
"""xuyan @ g17hvTKmo8"" collected 67.50 from pot with Two Pair (combination: A♣, A♦, Q♣, Q♥, 10♥)",2025-08-01T05:38:33.807Z,175402671380703
"""Tobi @ C5IYwkBaOk"" collected 67.50 from pot with Two Pair (combination: A♠, A♦, Q♠, Q♥, 10♥)",2025-08-01T05:38:33.807Z,175402671380702
"""xuyan @ g17hvTKmo8"" shows a 2♥, K♦, A♣, Q♣.",2025-08-01T05:38:33.807Z,175402671380701
"""Tobi @ C5IYwkBaOk"" shows a Q♠, 7♥, 3♦, A♠.",2025-08-01T05:38:33.807Z,175402671380700
"""xuyan @ g17hvTKmo8"" calls 45.00",2025-08-01T05:38:32.993Z,175402671299300
"""Tobi @ C5IYwkBaOk"" bets 45.00",2025-08-01T05:38:26.885Z,175402670688500
"River: 7♦, Q♥, 10♥, 6♣ [A♦]",2025-08-01T05:38:23.701Z,175402670370100
"""xuyan @ g17hvTKmo8"" calls 15.00",2025-08-01T05:38:22.888Z,175402670288800
"""Tobi @ C5IYwkBaOk"" bets 15.00",2025-08-01T05:38:21.518Z,175402670151800
"The admin ""Tobi @ C5IYwkBaOk"" enqueued the game stop on next hand.",2025-08-01T05:38:18.919Z,175402669891900
"Turn: 7♦, Q♥, 10♥ [6♣]",2025-08-01T05:38:18.537Z,175402669853700
"""xuyan @ g17hvTKmo8"" checks",2025-08-01T05:38:17.734Z,175402669773400
"""Tobi @ C5IYwkBaOk"" checks",2025-08-01T05:38:16.591Z,175402669659100
"Flop:  [7♦, Q♥, 10♥]",2025-08-01T05:38:06.887Z,175402668688700
"""Tobi @ C5IYwkBaOk"" calls 7.00",2025-08-01T05:38:06.078Z,175402668607800
"""Ben @ Mn8Pxw4x79"" folds",2025-08-01T05:38:04.091Z,175402668409100
"""Greg @ bTWHIJcaFV"" folds",2025-08-01T05:37:59.336Z,175402667933600
"""xuyan @ g17hvTKmo8"" raises to 7.00",2025-08-01T05:37:58.378Z,175402667837800
"""Tobi @ C5IYwkBaOk"" posts a big blind of 2.00",2025-08-01T05:37:55.828Z,175402667582807
"""Ben @ Mn8Pxw4x79"" posts a small blind of 1.00",2025-08-01T05:37:55.828Z,175402667582806
"Your hand is Q♠, 7♥, 3♦, A♠",2025-08-01T05:37:55.828Z,175402667582804
"Player stacks: #1 ""Greg @ bTWHIJcaFV"" (955.11) | #3 ""Ben @ Mn8Pxw4x79"" (1088.67) | #6 ""Tobi @ C5IYwkBaOk"" (813.25) | #8 ""xuyan @ g17hvTKmo8"" (520.63)",2025-08-01T05:37:55.828Z,175402667582801
"-- starting hand #249 (id: krzmzsvq7bjw)  (Pot Limit Omaha Hi) (dealer: ""Greg @ bTWHIJcaFV"") --",2025-08-01T05:37:55.828Z,175402667582800
"Undealt cards: 9♣, 7♣, 7♦ [4♠, 6♥]",2025-08-01T05:37:50.894Z,175402667089400
"""Ben @ Mn8Pxw4x79"" shows a 6♦.",2025-08-01T05:37:50.259Z,175402667025900
"""Tobi @ C5IYwkBaOk"" shows a K♣, 9♥, A♣, 2♠.",2025-08-01T05:37:49.900Z,175402666990000
"""Ben @ Mn8Pxw4x79"" shows a 6♠.",2025-08-01T05:37:49.633Z,175402666963300
"""Ben @ Mn8Pxw4x79"" shows a 6♣.",2025-08-01T05:37:49.291Z,175402666929100
"-- ending hand #248 --",2025-08-01T05:37:48.519Z,175402666851902
"""Tobi @ C5IYwkBaOk"" collected 8.00 from pot",2025-08-01T05:37:48.519Z,175402666851901
"Uncalled bet of 8.00 returned to ""Tobi @ C5IYwkBaOk""",2025-08-01T05:37:48.519Z,175402666851900
"""Ben @ Mn8Pxw4x79"" folds",2025-08-01T05:37:47.713Z,175402666771300
"""Greg @ bTWHIJcaFV"" folds",2025-08-01T05:37:44.843Z,175402666484300
"""xuyan @ g17hvTKmo8"" folds",2025-08-01T05:37:43.113Z,175402666311300
"""Tobi @ C5IYwkBaOk"" bets 8.00",2025-08-01T05:37:41.579Z,175402666157900
"""Ben @ Mn8Pxw4x79"" checks",2025-08-01T05:37:38.905Z,175402665890500
"""Greg @ bTWHIJcaFV"" checks",2025-08-01T05:37:35.800Z,175402665580000
"Flop:  [9♣, 7♣, 7♦]",2025-08-01T05:37:33.551Z,175402665355100
"""Ben @ Mn8Pxw4x79"" checks",2025-08-01T05:37:32.743Z,175402665274300
"""Greg @ bTWHIJcaFV"" calls 2.00",2025-08-01T05:37:30.637Z,175402665063700
"""xuyan @ g17hvTKmo8"" calls 2.00",2025-08-01T05:37:26.535Z,175402664653500
"""Tobi @ C5IYwkBaOk"" calls 2.00",2025-08-01T05:37:25.310Z,175402664531000
"""Ben @ Mn8Pxw4x79"" posts a big blind of 2.00",2025-08-01T05:37:22.526Z,175402664252607
"""Greg @ bTWHIJcaFV"" posts a small blind of 1.00",2025-08-01T05:37:22.526Z,175402664252606
"Your hand is K♣, 9♥, A♣, 2♠",2025-08-01T05:37:22.526Z,175402664252604
"Player stacks: #1 ""Greg @ bTWHIJcaFV"" (957.11) | #3 ""Ben @ Mn8Pxw4x79"" (1090.67) | #6 ""Tobi @ C5IYwkBaOk"" (807.25) | #8 ""xuyan @ g17hvTKmo8"" (522.63)",2025-08-01T05:37:22.526Z,175402664252601
"-- starting hand #248 (id: s6iff7uvkzdg)  (Pot Limit Omaha Hi) (dealer: ""xuyan @ g17hvTKmo8"") --",2025-08-01T05:37:22.526Z,175402664252600
"-- ending hand #247 --",2025-08-01T05:37:14.518Z,175402663451804
"""Ben @ Mn8Pxw4x79"" collected 211.25 from pot with Full House on the second board  (combination: A♣, A♠, A♦, 5♦, 5♣)",2025-08-01T05:37:14.518Z,175402663451803
"""xuyan @ g17hvTKmo8"" collected 211.25 from pot with Three of a Kind (combination: 8♦, 8♠, 8♥, Q♥, 9♠)",2025-08-01T05:37:14.518Z,175402663451802
