entry,at,order
"The player ""xuyan @ g17hvTKmo8"" sit back with the stack of 321.31.",2025-08-02T23:35:09.530Z,175417770953000
"The player ""Greg @ bTWHIJcaFV"" quits the game with a stack of 653.02.",2025-08-02T23:30:40.219Z,175417744021900
"-- ending hand #504 --",2025-08-02T23:30:34.209Z,175417743420902
"""Greg @ bTWHIJcaFV"" collected 24.00 from pot with Straight (combination: K♥, Q♦, J♣, 10♦, 9♦)",2025-08-02T23:30:34.209Z,175417743420901
"""Greg @ bTWHIJcaFV"" shows a 2♦, Q♦, 6♦, 9♦.",2025-08-02T23:30:34.209Z,175417743420900
"""Big D @ 3-zQVLqR1l"" calls 6.00",2025-08-02T23:30:33.376Z,175417743337600
"""Greg @ bTWHIJcaFV"" bets 6.00",2025-08-02T23:30:26.350Z,175417742635000
"River: K♥, 10♦, 8♦, J♣ [9♥]",2025-08-02T23:30:20.637Z,175417742063700
"""Big D @ 3-zQVLqR1l"" checks",2025-08-02T23:30:19.828Z,175417741982800
"""Greg @ bTWHIJcaFV"" checks",2025-08-02T23:30:15.492Z,175417741549200
"Turn: K♥, 10♦, 8♦ [J♣]",2025-08-02T23:30:07.201Z,175417740720100
"""Greg @ bTWHIJcaFV"" calls 5.00",2025-08-02T23:30:06.391Z,175417740639100
"""Big D @ 3-zQVLqR1l"" raises to 5.00",2025-08-02T23:30:03.718Z,175417740371800
"""Greg @ bTWHIJcaFV"" bets 1.00",2025-08-02T23:30:00.235Z,175417740023500
"Flop:  [K♥, 10♦, 8♦]",2025-08-02T23:29:51.546Z,175417739154600
"""Greg @ bTWHIJcaFV"" checks",2025-08-02T23:29:50.659Z,175417739065900
"""Big D @ 3-zQVLqR1l"" calls 1.00",2025-08-02T23:29:38.247Z,175417737824700
"""Greg @ bTWHIJcaFV"" posts a big blind of 1.00",2025-08-02T23:29:33.137Z,175417737313705
"""Big D @ 3-zQVLqR1l"" posts a small blind of 0.50",2025-08-02T23:29:33.137Z,175417737313704
"Player stacks: #1 ""Greg @ bTWHIJcaFV"" (641.02) | #6 ""Big D @ 3-zQVLqR1l"" (445.70)",2025-08-02T23:29:33.137Z,175417737313701
"-- starting hand #504 (id: mns2qxktjmu0)  (Pot Limit Omaha Hi) (dealer: ""Big D @ 3-zQVLqR1l"") --",2025-08-02T23:29:33.137Z,175417737313700
"-- ending hand #503 --",2025-08-02T23:29:27.133Z,175417736713302
"""Greg @ bTWHIJcaFV"" collected 24.00 from pot with Two Pair (combination: J♥, J♦, 9♠, 9♦, 10♣)",2025-08-02T23:29:27.133Z,175417736713301
"""Greg @ bTWHIJcaFV"" shows a 9♠, K♣, 6♥, 9♦.",2025-08-02T23:29:27.133Z,175417736713300
"""Greg @ bTWHIJcaFV"" checks",2025-08-02T23:29:26.319Z,175417736631900
"""Big D @ 3-zQVLqR1l"" checks",2025-08-02T23:29:24.764Z,175417736476400
"River: J♥, 5♣, J♦, 6♠ [10♣]",2025-08-02T23:29:20.157Z,175417736015700
"""Big D @ 3-zQVLqR1l"" calls 6.00",2025-08-02T23:29:19.352Z,175417735935200
"""Greg @ bTWHIJcaFV"" bets 6.00",2025-08-02T23:29:11.829Z,175417735182900
"""Big D @ 3-zQVLqR1l"" checks",2025-08-02T23:28:57.926Z,175417733792600
"Turn: J♥, 5♣, J♦ [6♠]",2025-08-02T23:28:54.274Z,175417733427400
