entry,at,order
"The player ""BigD @ 3-zQVLqR1l"" quits the game with a stack of 0.00.",2025-08-04T07:02:52.328Z,175429097232800
"-- ending hand #445 --",2025-08-04T07:02:49.325Z,175429096932504
"""Greg @ bTWHIJcaFV"" collected 58.80 from pot with low hand with eight high (combination: A♠, 2♥, 3♣, 4♠, 8♦)",2025-08-04T07:02:49.325Z,175429096932503
"""Greg @ bTWHIJcaFV"" collected 58.80 from pot with hi hand with two pair nines and threes (combination: 8♦, 3♣, 3♥, 9♠, 9♥)",2025-08-04T07:02:49.325Z,175429096932502
"""Greg @ bTWHIJcaFV"" shows a A♠, 9♠, 3♣, Q♦.",2025-08-04T07:02:49.325Z,175429096932501
"""BigD @ 3-zQVLqR1l"" shows a 8♣, 2♣, 10♠, 5♥.",2025-08-04T07:02:49.325Z,175429096932500
"""Greg @ bTWHIJcaFV"" calls 36.30",2025-08-04T07:02:48.463Z,175429096846300
"""BigD @ 3-zQVLqR1l"" bets 36.30 and go all in",2025-08-04T07:02:46.561Z,175429096656100
"""Greg @ bTWHIJcaFV"" checks",2025-08-04T07:02:44.123Z,175429096412300
"River: 8♦, 2♥, 3♥, 9♥ [4♠]",2025-08-04T07:02:42.321Z,175429096232100
"""Greg @ bTWHIJcaFV"" calls 13.50",2025-08-04T07:02:41.516Z,175429096151600
"""BigD @ 3-zQVLqR1l"" bets 13.50",2025-08-04T07:02:39.615Z,175429095961500
"""Greg @ bTWHIJcaFV"" checks",2025-08-04T07:02:36.374Z,175429095637400
"Turn: 8♦, 2♥, 3♥ [9♥]",2025-08-04T07:02:33.954Z,175429095395400
"""Greg @ bTWHIJcaFV"" calls 6.00",2025-08-04T07:02:33.151Z,175429095315100
"""BigD @ 3-zQVLqR1l"" bets 6.00",2025-08-04T07:02:25.547Z,175429094554700
"""Greg @ bTWHIJcaFV"" checks",2025-08-04T07:02:22.990Z,175429094299000
"Flop:  [8♦, 2♥, 3♥]",2025-08-04T07:02:19.511Z,175429093951100
"""BigD @ 3-zQVLqR1l"" calls 3.00",2025-08-04T07:02:18.674Z,175429093867400
"""Greg @ bTWHIJcaFV"" raises to 3.00",2025-08-04T07:02:15.025Z,175429093502500
"""BigD @ 3-zQVLqR1l"" calls 1.00",2025-08-04T07:02:12.830Z,175429093283000
"""Greg @ bTWHIJcaFV"" posts a big blind of 1.00",2025-08-04T07:02:11.036Z,175429093103605
"""BigD @ 3-zQVLqR1l"" posts a small blind of 0.50",2025-08-04T07:02:11.036Z,175429093103604
"Player stacks: #1 ""Greg @ bTWHIJcaFV"" (2216.07) | #8 ""BigD @ 3-zQVLqR1l"" (58.80)",2025-08-04T07:02:11.036Z,175429093103601
"-- starting hand #445 (id: 5gdixhi0vj0o)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""BigD @ 3-zQVLqR1l"") --",2025-08-04T07:02:11.036Z,175429093103600
"""Greg @ bTWHIJcaFV"" shows a 2♣, 4♠, Q♣, 3♠.",2025-08-04T07:02:05.144Z,175429092514400
"-- ending hand #444 --",2025-08-04T07:02:04.430Z,175429092443002
"""Greg @ bTWHIJcaFV"" collected 18.00 from pot",2025-08-04T07:02:04.430Z,175429092443001
"Uncalled bet of 18.00 returned to ""Greg @ bTWHIJcaFV""",2025-08-04T07:02:04.430Z,175429092443000
"""BigD @ 3-zQVLqR1l"" folds",2025-08-04T07:02:03.607Z,175429092360700
"""Greg @ bTWHIJcaFV"" bets 18.00",2025-08-04T07:02:00.646Z,175429092064600
"""BigD @ 3-zQVLqR1l"" checks",2025-08-04T07:01:57.935Z,175429091793500
"Turn: 5♥, 5♦, 4♥ [8♥]",2025-08-04T07:01:54.272Z,175429091427200
"""Greg @ bTWHIJcaFV"" calls 6.00",2025-08-04T07:01:53.444Z,175429091344400
"""BigD @ 3-zQVLqR1l"" bets 6.00",2025-08-04T07:01:51.242Z,175429091124200
"Flop:  [5♥, 5♦, 4♥]",2025-08-04T07:01:45.021Z,175429090502100
"""BigD @ 3-zQVLqR1l"" calls 3.00",2025-08-04T07:01:44.190Z,175429090419000
"""Greg @ bTWHIJcaFV"" raises to 3.00",2025-08-04T07:01:43.311Z,175429090331100
"""BigD @ 3-zQVLqR1l"" posts a big blind of 1.00",2025-08-04T07:01:41.015Z,175429090101505
"""Greg @ bTWHIJcaFV"" posts a small blind of 0.50",2025-08-04T07:01:41.015Z,175429090101504
"Player stacks: #1 ""Greg @ bTWHIJcaFV"" (2207.07) | #8 ""BigD @ 3-zQVLqR1l"" (67.80)",2025-08-04T07:01:41.015Z,175429090101501
